央视,#genre#
CCTV-1高清,http://117.14.55.102:18080/hls/1/index.m3u8
CCTV-2高清,http://117.14.55.102:18080/hls/2/index.m3u8
CCTV-3高清,http://117.14.55.102:18080/hls/3/index.m3u8
CCTV-4高清,http://117.14.55.102:18080/hls/4/index.m3u8
CCTV-5高清,http://117.14.55.102:18080/hls/5/index.m3u8
CCTV-5+高清,http://117.14.55.102:18080/hls/6/index.m3u8
CCTV-6高清,http://117.14.55.102:18080/hls/7/index.m3u8
CCTV-7高清,http://117.14.55.102:18080/hls/8/index.m3u8
CCTV-8高清,http://117.14.55.102:18080/hls/9/index.m3u8
CCTV-9高清,http://117.14.55.102:18080/hls/10/index.m3u8
CCTV-10高清,http://117.14.55.102:18080/hls/11/index.m3u8
CCTV-11高清,http://117.14.55.102:18080/hls/12/index.m3u8
CCTV-12高清,http://117.14.55.102:18080/hls/13/index.m3u8
CCTV-13高清,http://117.14.55.102:18080/hls/14/index.m3u8
CCTV-14高清,http://117.14.55.102:18080/hls/15/index.m3u8
CCTV-15高清,http://117.14.55.102:18080/hls/16/index.m3u8
CCTV-16高清,http://117.14.55.102:18080/hls/17/index.m3u8
CCTV-17高清,http://117.14.55.102:18080/hls/18/index.m3u8



CCTV第一剧场,rtsp://221.203.83.34:554/PLTV/88888888/224/3221226698/10000100000000060000000006385142_0.smil
CCTV怀旧剧场,rtsp://221.203.83.34:554/PLTV/88888888/224/3221226700/10000100000000060000000006385151_0.smil
CCTV风云剧场,rtsp://221.203.83.34:554/PLTV/88888888/224/3221226671/10000100000000060000000006385152_0.smil
CCTV风云音乐,rtsp://221.203.83.34:554/PLTV/88888888/224/3221226718/10000100000000060000000006385496_0.smil
CCTV女性时尚,rtsp://221.203.83.34:554/PLTV/88888888/224/3221226675/10000100000000060000000006385156_0.smil
CCTV风云足球,rtsp://221.203.83.34:554/PLTV/88888888/224/3221226702/10000100000000060000000006385159_0.smil
CCTV央视文化精品,rtsp://221.203.83.34:554/PLTV/88888888/224/3221226677/10000100000000060000000006385162_0.smil
CCTV兵器科技,rtsp://221.203.83.34:554/PLTV/88888888/224/3221226704/10000100000000060000000006385167_0.smil
CCTV央视台球,rtsp://221.203.83.34:554/PLTV/88888888/224/3221226706/10000100000000060000000006385172_0.smil
CCTV世界地理,rtsp://221.203.83.34:554/PLTV/88888888/224/3221226679/10000100000000060000000006385175_0.smil







