央视频道,#genre#
CCTV-1综合HD,http://39.135.36.151:18890/000000001000/1000000001000021973/1.m3u8?channel-id=ystenlive&Contentid=1000000001000021973&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=4ef1f6fdd53988bdf19472c73151206f21vv&usergroup=g21077200000&version=1.0&owaccmark=1000000001000021973&owchid=ystenlive&owsid=1106497909461769539&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE7AORAoVDZDWbFnJ0sXJEaRLaQJeR5usCQMKdpIDCZAoYPt4bOuuiUwGxs8%2fKxpb7Wa3xqB26AcGEvjhx3JJlw6
CCTV-2财经,http://39.135.36.150:18890/000000001000/1000000001000012442/1.m3u8?channel-id=ystenlive&Contentid=1000000001000012442&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=4ef1f6fdd53988bdf19472c73151206f21vv&usergroup=g21077200000&version=1.0&owaccmark=1000000001000012442&owchid=ystenlive&owsid=1106497909461775063&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE7AORAoVDZDWbFnJ0sXJEaRknGE%2fO0VC9Co37x%2f7gMjaWYjatUfTQlAa15Ksg%2fXe8sQo%2fi5btdpzeV%2b1v4UwuHf
CCTV-3综艺,http://39.135.36.141:18890/000000001000/1000000001000011218/1.m3u8?channel-id=ystenlive&Contentid=1000000001000011218&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=4ef1f6fdd53988bdf19472c73151206f21vv&usergroup=g21077200000&version=1.0&owaccmark=1000000001000011218&owchid=ystenlive&owsid=1106497909461779572&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE7AORAoVDZDWbFnJ0sXJEaRrAyJU4rR1Dadw9ISEYm5oBbA9lSzNfT0W7kMLAWHUBTbBAjpiIN0Pdi%2fTRm3zPoh
CCTV-4国际,http://39.135.36.150:18890/000000001000/1000000002000031664/1.m3u8?channel-id=ystenlive&Contentid=1000000002000031664&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=bd8bb70bdb2b54bd84b587dffa024f7621vv&usergroup=g21077200000&version=1.0&owaccmark=1000000002000031664&owchid=ystenlive&owsid=1106497909461056460&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE5oj7lZFbEKIj3xJcvQPkjhSaNRr4LzI3YsXQPQcGzS6VSIZXSs858JtCAdvl%2fg%2f2u5lawXOBSX%2fqESSB5FmTXS
CCTV-5体育,http://39.135.36.146:18890/000000001000/1000000001000004794/1.m3u8?channel-id=ystenlive&contentid=1000000001000004794&livemode=1&stbid=005203ff000360100001001a34c0cd33&usertoken=bd8bb70bdb2b54bd84b587dffa024f7621vv&usergroup=g21077200000&version=1.0&owaccmark=1000000001000004794&owchid=ystenlive&owsid=1106497909461092492&authinfo=yolxjswzzffv3fvb8mhhuelkgjklbu5h0jb3qahfse7aoraovdzdwbfnj0sxjearfiatofcd93c7ach3puyar1v%2bioi39cfseenlxp5u9ufadu6bcdl7v7ctgkugzw1d
CCTV-6高清,http://39.135.36.140:18890/000000001000/1000000001000016466/1.m3u8?channel-id=ystenlive&Contentid=1000000001000016466&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=bd8bb70bdb2b54bd84b587dffa024f7621vv&usergroup=g21077200000&version=1.0&owaccmark=1000000001000016466&owchid=ystenlive&owsid=1106497909461115566&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE7AORAoVDZDWbFnJ0sXJEaRPL4aTeGJNlZwIkZROfGAKEC3iG4uOUkYNIdPRliCqBi8AjSQtKTBHB8b3LPXJcIA
CCTV-7军事农业,http://39.135.36.152:18890/000000001000/7050628689018054317/1.m3u8?channel-id=ystenlive&Contentid=7050628689018054317&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=bd8bb70bdb2b54bd84b587dffa024f7621vv&usergroup=g21077200000&version=1.0&owaccmark=7050628689018054317&owchid=ystenlive&owsid=1106497909461123525&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE5v8WYfJSLSoSDQSshIAsx77pE15UEXEdMCmKIrL5%2f3xV22iBl6KMm%2bLcZrmbA5H1KmAD8EY%2bWAeRUs2LJ9Vxxk
CCTV-8高清,http://39.135.36.154:18890/000000001000/1000000001000003736/1.m3u8?channel-id=ystenlive&Contentid=1000000001000003736&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=bd8bb70bdb2b54bd84b587dffa024f7621vv&usergroup=g21077200000&version=1.0&owaccmark=1000000001000003736&owchid=ystenlive&owsid=1106497909461132718&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE7AORAoVDZDWbFnJ0sXJEaRKhIjYL3aRNrIf2qoTcK90Bd0oe1gvWxxvd9Qs9pkD5eKCeYPeHs2GppHtnd1klhd
CCTV-9纪录,http://39.135.36.145:18890/000000001000/1000000001000014583/1.m3u8?channel-id=ystenlive&Contentid=1000000001000014583&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=bd8bb70bdb2b54bd84b587dffa024f7621vv&usergroup=g21077200000&version=1.0&owaccmark=1000000001000014583&owchid=ystenlive&owsid=1106497909461138654&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE7AORAoVDZDWbFnJ0sXJEaRh3XYVWmjehcJ6eeMnvhxAUHggQtCK8Xdm86HMC53JU75N56tG8kTzA%2fMocL0w%2bEi
CCTV-10科教,http://39.135.36.151:18890/000000001000/7019587760656900133/1.m3u8?channel-id=ystenlive&Contentid=7019587760656900133&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=bd8bb70bdb2b54bd84b587dffa024f7621vv&usergroup=g21077200000&version=1.0&owaccmark=7019587760656900133&owchid=ystenlive&owsid=1106497909461152716&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE5DtJGdM%2bq9fDiivHNjKl%2bK%2b9%2fvTG5xUEzd4ADPtXjiSOOAPl07bvHVEc1KInbp3p%2fXrmwsjTHZ%2fLcoxEWqnCxI
CCTV-11戏曲,http://39.135.36.157:18890/000000001000/1000000002000019789/1.m3u8?channel-id=ystenlive&Contentid=1000000002000019789&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=bd8bb70bdb2b54bd84b587dffa024f7621vv&usergroup=g21077200000&version=1.0&owaccmark=1000000002000019789&owchid=ystenlive&owsid=1106497909461158507&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE5oj7lZFbEKIj3xJcvQPkjhUELVtb8TDQzMSm5TScAJJF9JU4YcW5z4YHYDU6y7yn5EMhEqmI%2fAHiE6j4Y95QQ6
CCTV-12社会与法,http://39.135.36.153:18890/000000001000/5325631075193490169/1.m3u8?channel-id=ystenlive&Contentid=5325631075193490169&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=bd8bb70bdb2b54bd84b587dffa024f7621vv&usergroup=g21077200000&version=1.0&owaccmark=5325631075193490169&owchid=ystenlive&owsid=1106497909461165978&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE7Q36zc4fu7NwQ%2fn1v2mTHqagOL8gLhzmY66HLCxgy24bGH5Xn1D6yEQdwViWmtBz15WRKuKxWsf0XH20JE0dby
CCTV-13新闻,http://39.135.36.142:18890/000000001000/1000000002000021303/1.m3u8?channel-id=ystenlive&Contentid=1000000002000021303&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=bd8bb70bdb2b54bd84b587dffa024f7621vv&usergroup=g21077200000&version=1.0&owaccmark=1000000002000021303&owchid=ystenlive&owsid=1106497909461172796&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE5oj7lZFbEKIj3xJcvQPkjht3HVAbnHsmZNUh9hfpXto6CyOW1rkA%2biXZhxwyg0QWyFIN7oKbswdBdf7iWy8vlE#http://web.hls.timetv.cn/mlive/cctv/cctv13hd.m3u8
CCTV-14少儿,http://39.135.36.147:18890/000000001000/8203666801302077036/1.m3u8?channel-id=ystenlive&Contentid=8203666801302077036&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=bd8bb70bdb2b54bd84b587dffa024f7621vv&usergroup=g21077200000&version=1.0&owaccmark=8203666801302077036&owchid=ystenlive&owsid=1106497909461179285&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE5OdsPl7aB2c%2fh9IG5fEu5Y1yWuhr6PsL8ovQK5JmdmvjbSpXjguwCa8emDxg5lQPKN6B6go0yKDtys3NmnOM6U
CCTV-15音乐,http://39.135.36.158:18890/000000001000/1000000002000008163/1.m3u8?channel-id=ystenlive&Contentid=1000000002000008163&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=bd8bb70bdb2b54bd84b587dffa024f7621vv&usergroup=g21077200000&version=1.0&owaccmark=1000000002000008163&owchid=ystenlive&owsid=1106497909461186580&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE5oj7lZFbEKIj3xJcvQPkjhY20qRt7%2f617UUdZqFKeX8uE3lV%2bUYqhdkQW8TTtgMeMYnBWivLOAtJKqm6UM8Epy
CCTV-5+体育,http://39.135.36.152:18890/000000001000/1000000001000020505/1.m3u8?channel-id=ystenlive&Contentid=1000000001000020505&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=bd8bb70bdb2b54bd84b587dffa024f7621vv&usergroup=g21077200000&version=1.0&owaccmark=1000000001000020505&owchid=ystenlive&owsid=1106497909461103025&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE7AORAoVDZDWbFnJ0sXJEaRkrZ1YVus93dDbxNB4SF1DDcF4ZpIL8iGHt%2bMdt2ZAOlknlq9lyy%2fQZJVqiFUxfle
CCTV-17农村农业,http://39.135.36.140:18890/000000001000/1000000005000056836/1.m3u8?channel-id=ystenlive&Contentid=1000000005000056836&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=bd8bb70bdb2b54bd84b587dffa024f7621vv&usergroup=g21077200000&version=1.0&owaccmark=1000000005000056836&owchid=ystenlive&owsid=1106497909461196027&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE6skxOPttMtBQzbEMb71jMrM9bNA5sjuldmGASVEj1FB1TOzqCEWAK6w%2FJbtYz8kEYu99sUSfTSd48Av%2FzOzjC1
广东有线,#genre#
CCTV-1HD,http://27.36.62.163:9090/live/CCTV1HD_7000.m3u8
CCTV-2HD,http://27.36.62.163:9090/live/CCTV2HD_7000.m3u8
CCTV-3HD,http://27.36.62.163:9090/live/CCTV3HD_7000.m3u8
CCTV-5HD,http://27.36.62.163:9090/live/CCTV5HD_7000.m3u8
CCTV-5+HD,http://27.36.62.163:9090/live/CCTV5plusHD_7000.m3u8
CCTV-6HD,http://27.36.62.163:9090/live/CCTV6HD_7000.m3u8
CCTV-7HD,http://27.36.62.163:9090/live/CCTV7HD_7000.m3u8
CCTV-8HD,http://27.36.62.163:9090/live/CCTV8HD_7000.m3u8
CCTV-9HD,http://27.36.62.163:9090/live/CCTV9HD_7000.m3u8
CCTV-10HD,http://27.36.62.163:9090/live/CCTV10HD_7000.m3u8
CCTV-12HD,http://27.36.62.163:9090/live/CCTV12HD_7000.m3u8
CCTV-14HD,http://27.36.62.163:9090/live/CCTV14HD_7000.m3u8
广东卫视HD,http://27.36.62.163:9090/live/guangdongHD_7000.m3u8
广东体育HD,http://27.36.62.163:9090/live/gdsportsHD_7000.m3u8
梅州一套,http://27.36.62.163:9090/live/meizhouyitao_1500.m3u8
梅州二套,http://27.36.62.163:9090/live/meizhouertao_1500.m3u8
广东珠江,http://27.36.62.163:9090/live/gdzhujiang_1500.m3u8
广东公共,http://27.36.62.163:9090/live/gdpublic_1500.m3u8
广东新闻,http://27.36.62.163:9090/live/gdnews_1500.m3u8
广东体育,http://27.36.62.163:9090/live/gdsports_1500.m3u8
南方卫视,http://27.36.62.163:9090/live/gdnanfang_1500.m3u8
广东经视,http://27.36.62.163:9090/live/GDjingjikejiaoHD_3000.m3u8
广东综艺,http://27.36.62.163:9090/live/gdzongyi_1500.m3u8
广东影视,http://27.36.62.163:9090/live/gdyingshi_1500.m3u8
广东少儿,http://27.36.62.163:9090/live/gdshaoer_1500.m3u8
广东房产,http://27.36.62.163:9090/live/fangchan_1500.m3u8
广东经济HD,http://27.36.62.163:9090/live/GDjingjikejiaoHD_7000.m3u8
珠江电影,http://27.36.62.163:9090/live/zjfilms_1500.m3u8
现代教育,http://27.36.62.163:9090/live/xiandaijiaoyu_1500.m3u8
岭南戏曲,http://27.36.62.163:9090/live/lingnanxiqu_1500.m3u8
广州综合,http://27.36.62.163:9090/live/guangzhou_1500.m3u8
广州新闻,http://27.36.62.163:9090/live/gznews_1500.m3u8
广州经济,http://27.36.62.163:9090/live/gzeconomic_1500.m3u8
广州生活,http://27.36.62.163:9090/live/gzlife_1500.m3u8
广州竞赛,http://27.36.62.163:9090/live/gzcompetition_1500.m3u8
广州影视,http://27.36.62.163:9090/live/gzfilms_1500.m3u8
广州少儿,http://27.36.62.163:9090/live/gzchild_1500.m3u8
TVB明珠台,http://27.36.62.163:9090/live/xgmingzhu_1500.m3u8
TVB翡翠台,http://27.36.62.163:9090/live/xgfeicui_1500.m3u8
凤凰中文,http://27.36.62.163:9090/live/fhzw_1500.m3u8
星空卫视,http://27.36.62.163:9090/live/xingkong_1500.m3u8
CCTV-1,http://27.36.62.163:9090/live/CCTV1_1500.m3u8
CCTV-2,http://27.36.62.163:9090/live/CCTV2_1500.m3u8
CCTV-3,http://27.36.62.163:9090/live/CCTV3_1500.m3u8
CCTV-4,http://27.36.62.163:9090/live/CCTV4_1500.m3u8
CCTV-5,http://27.36.62.163:9090/live/CCTV5_1500.m3u8
CCTV-6,http://27.36.62.163:9090/live/CCTV6_1500.m3u8
CCTV-7,http://27.36.62.163:9090/live/CCTV7_1500.m3u8
CCTV-8,http://27.36.62.163:9090/live/CCTV8_1500.m3u8
CCTV-9,http://27.36.62.163:9090/live/CCTV9_1500.m3u8
CCTV-10,http://27.36.62.163:9090/live/CCTV10_1500.m3u8
CCTV-11,http://27.36.62.163:9090/live/CCTV11_1500.m3u8
CCTV-12,http://27.36.62.163:9090/live/CCTV12_1500.m3u8
CCTV-13,http://27.36.62.163:9090/live/CCTV13_1500.m3u8
CCTV-14,http://27.36.62.163:9090/live/CCTV14_1500.m3u8
CCTV-15,http://27.36.62.163:9090/live/CCTV15music_1500.m3u8
深圳卫视HD,http://27.36.62.163:9090/live/shenzhenHD_7000.m3u8
东方卫视HD,http://27.36.62.163:9090/live/dongfangHD_7000.m3u8
北京卫视HD,http://27.36.62.163:9090/live/beijingHD_7000.m3u8
湖南卫视HD,http://27.36.62.163:9090/live/hunanHD_7000.m3u8
浙江卫视HD,http://27.36.62.163:9090/live/zhejiangHD_7000.m3u8
四川卫视HD,http://27.36.62.163:9090/live/sichuanHD_7000.m3u8
江苏卫视HD,http://27.36.62.163:9090/live/jiangsuHD_7000.m3u8
重庆卫视HD,http://27.36.62.163:9090/live/chongqingHD_7000.m3u8
贵州卫视HD,http://27.36.62.163:9090/live/guizhouHD_7000.m3u8
河北卫视HD,http://27.36.62.163:9090/live/hebeiHD_7000.m3u8
辽宁卫视HD,http://27.36.62.163:9090/live/liaoningHD_7000.m3u8
天津卫视HD,http://27.36.62.163:9090/live/tianjinHD_7000.m3u8
山东卫视HD,http://27.36.62.163:9090/live/shandongHD_7000.m3u8
湖北卫视HD,http://27.36.62.163:9090/live/hubeiHD_7000.m3u8
安徽卫视HD,http://27.36.62.163:9090/live/anhuiHD_7000.m3u8
黑龙江卫视HD,http://27.36.62.163:9090/live/heilongjiangHD_7000.m3u8
DOX4K,http://27.36.62.163:9090/live/dox4k_16000.m3u8
天华4K,http://27.36.62.163:9090/live/tianhua4k_16000.m3u8
自办4K,http://27.36.62.163:9090/live/ziban4k_16000.m3u8
极K纪录,http://27.36.62.163:9090/live/jikjilu_16000.m3u8
极K测试,http://27.36.62.163:9090/live/jikceshi_30000.m3u8
广东影视4K,http://27.36.62.163:9090/live/gdyingshi4k_30000.m3u8
广东综艺4K,http://27.36.62.163:9090/live/GDZYHD4K_38000.m3u8
DOX院线HD,http://27.36.62.163:9090/live/DOXyuanxianHD_7000.m3u8
DOX雅趣HD,http://27.36.62.163:9090/live/DOXhanliuHD_7000.m3u8
DOX怡家HD,http://27.36.62.163:9090/live/DOXyijiaHD_7000.m3u8
DOX英伦HD,http://27.36.62.163:9090/live/DOXyinglunHD_7000.m3u8
DOX新艺HD,http://27.36.62.163:9090/live/DOXxinyiHD_7000.m3u8
DOX新知HD,http://27.36.62.163:9090/live/DOXxinzhiHD_7000.m3u8
DOX映画HD,http://27.36.62.163:9090/live/DOXyinghuaHD_7000.m3u8
DOX剧场HD,http://27.36.62.163:9090/live/DOXjuchangHD_7000.m3u8
新视觉HD,http://27.36.62.163:9090/live/xinshijueHD_7000.m3u8
全纪实HD,http://27.36.62.163:9090/live/quanjishiHD_7000.m3u8
