电信IPTV,#genre#
CCTV-1高清,rtsp://183.58.12.204/PLTV/88888905/224/3221227270/10000100000000060000000001141346_0.smil?icpid=88888888
CCTV-1超清,rtsp://183.58.12.204/PLTV/88888905/224/3221227610/10000100000000060000000004462931_0.smil?icpid=88888888
CCTV-2财经,rtsp://183.58.12.204/PLTV/88888905/224/3221227316/10000100000000060000000001066428_0.smil?icpid=88888888
CCTV-2高清,rtsp://183.58.12.204/PLTV/88888905/224/3221227634/10000100000000060000000004662503_0.smil?icpid=88888888
CCTV-3高清,rtsp://183.58.12.204/PLTV/88888905/224/3221229838/10000100000000060000000009924454_0.smil?icpid=88888888
CCTV-3超清,rtsp://183.58.12.204/PLTV/88888905/224/3221229848/10000100000000060000000009924446_0.smil?icpid=88888888
CCTV-4中文国际,rtsp://183.58.12.204/PLTV/88888905/224/3221227284/10000100000000060000000001066429_0.smil?icpid=88888888
CCTV-4高清,rtsp://183.58.12.204/PLTV/88888905/224/3221229981/10000100000000060000000010232874_0.smil?icpid=88888888
CCTV-5高清,rtsp://183.58.12.204/PLTV/88888905/224/3221229857/10000100000000060000000009924447_0.smil?icpid=88888888
CCTV-5超清,rtsp://183.58.12.204/PLTV/88888905/224/3221229805/10000100000000060000000009924448_0.smil?icpid=88888888
CCTV5＋体育高清,rtsp://183.58.12.204/PLTV/88888905/224/3221227192/10000100000000060000000000987131_0.smil?icpid=88888888
CCTV-6高清,rtsp://183.58.12.204/PLTV/88888905/224/3221229898/10000100000000060000000009924445_0.smil?icpid=88888888
CCTV-6超清,rtsp://183.58.12.204/PLTV/88888905/224/3221229816/10000100000000060000000009924383_0.smil?icpid=88888888
CCTV-7军事农业,rtsp://183.58.12.204/PLTV/88888905/224/3221227290/10000100000000060000000001066434_0.smil?icpid=88888888
CCTV-7高清,rtsp://183.58.12.204/PLTV/88888905/224/3221227620/10000100000000060000000004662504_0.smil?icpid=88888888
CCTV-8高清,rtsp://183.58.12.204/PLTV/88888905/224/3221229900/10000100000000060000000009924385_0.smil?icpid=88888888
CCTV-8超清,rtsp://183.58.12.204/PLTV/88888905/224/3221229797/10000100000000060000000009924384_0.smil?icpid=88888888
CCTV-9纪录,rtsp://183.58.12.204/PLTV/88888905/224/3221227272/10000100000000060000000001030757_0.smil?icpid=88888888
CCTV-9高清,rtsp://183.58.12.204/PLTV/88888905/224/3221227617/10000100000000060000000004662501_0.smil?icpid=88888888
CCTV-10科教,rtsp://183.58.12.204/PLTV/88888905/224/3221227287/10000100000000060000000001066432_0.smil?icpid=88888888
CCTV-10高清,rtsp://183.58.12.204/PLTV/88888905/224/3221227631/10000100000000060000000004662500_0.smil?icpid=88888888
CCTV-11戏曲,rtsp://183.58.12.204/PLTV/88888905/224/3221227319/10000100000000060000000001066511_0.smil?icpid=88888888
CCTV-12社会与法,rtsp://183.58.12.204/PLTV/88888905/224/3221227313/10000100000000060000000001066425_0.smil?icpid=88888888
CCTV-12高清,rtsp://183.58.12.204/PLTV/88888905/224/3221227576/10000100000000060000000004662502_0.smil?icpid=88888888
CCTV-13新闻,rtsp://183.58.12.204/PLTV/88888905/224/3221227258/10000100000000060000000001066424_0.smil?icpid=88888888
CCTV-14少儿,rtsp://183.58.12.204/PLTV/88888905/224/3221227278/10000100000000060000000001066421_0.smil?icpid=88888888
CCTV-14高清,rtsp://183.58.12.204/PLTV/88888905/224/3221227573/10000100000000060000000004662499_0.smil?icpid=88888888
CCTV-15音乐,rtsp://183.58.12.204/PLTV/88888905/224/3221227281/10000100000000060000000001066427_0.smil?icpid=88888888
CCTV-17农业高清,rtsp://183.58.12.204/PLTV/88888905/224/3221229870/10000100000000060000000010232873_0.smil?icpid=88888888
CCTV-高清HD,rtsp://183.58.12.204/PLTV/88888905/224/3221227270/10000100000000060000000001141346_0.smil?icpid=88888888
广东卫视高清,rtsp://183.58.12.204/PLTV/88888905/224/3221227218/10000100000000060000000000988525_0.smil?icpid=88888888
广东体育高清,rtsp://183.58.12.204/PLTV/88888905/224/3221227484/10000100000000060000000003928833_0.smil?icpid=88888888
广东体育超清,rtsp://183.58.12.204/PLTV/88888905/224/3221227818/10000100000000060000000005076859_0.smil?icpid=88888888
梅州一套,http://183.238.77.9:9090/live/meizhouyitao_1500.m3u8#http://pili-live-rtmp.tvliving.gdmztv.com/meizhou-tvliving/mztv1.m3u8#http://v1.91kds.com/b/gdmztv.m3u8?id=gdmztv1&pwd=91kds#rtmp://pili-live-rtmp.tvliving.gdmztv.com/meizhou-tvliving/mztv1#http://pili-live-hdl.tvliving.gdmztv.com/meizhou-tvliving/mztv1.flv
梅州二套,http://183.238.77.9:9090/live/meizhouertao_1500.m3u8#http://pili-live-rtmp.tvliving.gdmztv.com/meizhou-tvliving/mztv2.m3u8#http://v1.91kds.com/b/gdmztv.m3u8?id=gdmztv2&pwd=91kds#rtmp://pili-live-rtmp.tvliving.gdmztv.com/meizhou-tvliving/mztv2#http://pili-live-hdl.tvliving.gdmztv.com/meizhou-tvliving/mztv2.flv
广东公共,rtsp://183.58.12.204/PLTV/88888905/224/3221226931/00000100000000060000000000554902_0.smil?icpid=88888888
